id,vista, modulo, view_date, usuario
3618128,CAJA SECUENCIA,SUMA PRODUCCION,2025-08-29 05:39:43,SNAREVALO
3618127,MOVER ROLLOS A BODEGA,SUMA PRODUCCION,2025-08-29 05:39:31,JQUINTERO
3618126,Preparar Rollos,Rollos Tela,2025-08-29 05:39:28,RGCASTRO
3618125,Asignar Rollos,Rollos Tela,2025-08-29 05:39:20,RGCASTRO
3618124,Bandeja Paqueteo,COMA,2025-08-29 05:38:34,RMONTES
3618123,Asignar Rollos,Rollos Tela,2025-08-29 05:38:18,RGCASTRO
3618122,Preparar Rollos,Rollos Tela,2025-08-29 05:38:09,RGCASTRO
3618121,Asignar Rollos,Rollos Tela,2025-08-29 05:38:07,RGCASTRO
3618120,Asignar Rollos,Rollos Tela,2025-08-29 05:37:54,RGCASTRO
41:59,VENTANA12
36110,Consulta Mesa Foleo,SDP,2024-02-22 13:41:54,FCASTANEDA
36109,Consulta ventana,LOGISTICA,2024-02-22 13:41:47,VENTANA4
36108,Hoja de paqueteo,REPORTES,2024-02-22 13:41:36,CCHAVEZ
36107,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:41:34,VENTANA10
36106,Orden de
                        producción,PLANEACIÓN,2024-02-22 13:41:31,ASIGUENZA
36105,Subida plano foleo-mesa,SDP,2024-02-22 13:41:24,AFRANCO
36104,Hoja de paqueteo,REPORTES,2024-02-22 13:41:18,BHERNANDEZ
36103,Consulta ventana,LOGISTICA,2024-02-22 13:41:04,VENTANA15
36102,Aprobar/rechazar - BU,PLANEACIÓN,2024-02-22 13:41:00,KREGALADO
36101,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:40:53,VENTANA6
36100,Enviar - Auditoria BPT,LOGISTICA,2024-02-22 13:40:53,VENTANA16
36099,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:40:51,VENTANA5
36098,Hoja de paqueteo,REPORTES,2024-02-22 13:40:48,BHERNANDEZ
36097,Consulta Mesa Foleo,SDP,2024-02-22 13:40:43,ASOLIS
36096,Consulta ventana,LOGISTICA,2024-02-22 13:40:39,VENTANA6
36095,Consulta ventana,LOGISTICA,2024-02-22 13:40:18,VENTANA5
36094,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:40:14,VENTANA1
36093,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:40:12,VENTANA5
36092,Asignar Rollos,Rollos Tela,2024-02-22 13:40:06,DEVIVAS
36091,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:40:00,VENTANA6
36090,Consulta ventana,LOGISTICA,2024-02-22 13:39:56,VENTANA1
36089,Referencias,Rollos Tela,2024-02-22 13:39:54,EMARROQUIN
36088,Consulta ventana,LOGISTICA,2024-02-22 13:39:47,VENTANA6
36087,Consulta ventana,LOGISTICA,2024-02-22 13:39:37,KANBAN
36086,Consulta Mesa Foleo,SDP,2024-02-22 13:39:34,KZUNIGA
36085,Sol. Aprobación/rechazo,PLANEACIÓN,2024-02-22 13:39:25,KREGALADO
36084,Registro Auditoria BPT,LOGISTICA,2024-02-22 13:39:20,OGOMEZ
36083,Reporte Ventana,LOGISTICA,2024-02-22 13:39:20,JAFLORES
36082,Rollos en Bodega,Rollos Tela,2024-02-22 13:39:02,EMARROQUIN
36081,OP - Calidad,LOGISTICA,2024-02-22 13:38:47,OGOMEZ
36080,Consulta Mesa Foleo,SDP,2024-02-22 13:38:47,KZUNIGA
36079,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:38:44,VENTANA6
36078,Reporte Ventana,LOGISTICA,2024-02-22 13:38:43,JAFLORES
36077,Estilo,COLECCION,2024-02-22 13:38:39,CHERRERA
36076,Movimiento por OP,REPORTES,2024-02-22 13:38:37,JJESCOBAR
36075,Programa Corte,PRODUCCIÓN,2024-02-22 13:38:37,WRAMIREZ
36074,Reportes,CALIDAD TELA,2024-02-22 13:38:36,JDRAMOS
36073,Consulta ventana,LOGISTICA,2024-02-22 13:38:23,VENTANA12
36072,Consulta ventana,LOGISTICA,2024-02-22 13:38:20,KANBAN
36071,Importar pedidas excel,PLANEACIÓN,2024-02-22 13:38:13,CGUEVARA
36070,Referencias,Rollos Tela,2024-02-22 13:38:08,JRAMIREZ
36069,Orden de
                        producción,PLANEACIÓN,2024-02-22 13:38:06,CGUEVARA
36068,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:38:00,VENTANA14
36067,Dividir Sticker,COMA,2024-02-22 13:37:56,JAFLORES
36066,Enviar - Auditoria BPT,LOGISTICA,2024-02-22 13:37:50,NGALVEZ
36065,Tiquete de Corte,REPORTES,2024-02-22 13:37:48,AFAJARDO
36064,Asignar Rollos,Rollos Tela,2024-02-22 13:37:44,DEVIVAS
36063,Tiquete de Corte,REPORTES,2024-02-22 13:37:44,GCANIZALEZ
36062,Consulta ventana,LOGISTICA,2024-02-22 13:37:42,VENTANA21
36061,Preparar Rollos,Rollos Tela,2024-02-22 13:37:37,DEVIVAS
36060,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:37:36,VENTANA9
36059,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:37:36,VENTANA21
36058,Movimiento por OP,REPORTES,2024-02-22 13:37:31,AFAJARDO
36057,Rollos en bodega,REPORTES,2024-02-22 13:37:19,GCANIZALEZ
36056,Consulta ventana,LOGISTICA,2024-02-22 13:37:16,VENTANA14
36055,Imprimir sticker,COMA,2024-02-22 13:37:14,COMASDP
36054,Wip Planta,REPORTES,2024-02-22 13:37:13,JAFLORES
36053,PX,PLANEACIÓN,2024-02-22 13:37:12,CGUEVARA
36052,Información Rollo,Rollos Tela,2024-02-22 13:36:55,DEVIVAS
36051,Movimiento por OP,REPORTES,2024-02-22 13:36:53,VECTORIH80
36050,Consulta ventana,LOGISTICA,2024-02-22 13:36:48,VENTANA9
36049,Sincronizar enterprise,PLANEACIÓN,2024-02-22 13:36:43,CGUEVARA
36048,Movimiento por OP,REPORTES,2024-02-22 13:36:43,AFAJARDO
36047,Hoja de paqueteo,REPORTES,2024-02-22 13:36:39,KANBAN
36046,Consulta ventana,LOGISTICA,2024-02-22 13:36:39,VENTANA2
36045,Asignar Rollos,Rollos Tela,2024-02-22 13:36:24,DEVIVAS
36044,Preparar Rollos,Rollos Tela,2024-02-22 13:35:56,DEVIVAS
36043,Celdas,PRODUCCIÓN,2024-02-22 13:35:53,JAFLORES
36042,Consulta ventana,LOGISTICA,2024-02-22 13:35:50,LPADILLA
36041,Consulta ventana,LOGISTICA,2024-02-22 13:35:44,VENTANA21
36040,Detalle Requisiciones,REPORTES,2024-02-22 13:35:38,DEVIVAS
36039,Movimiento por OP,REPORTES,2024-02-22 13:35:33,FALVAREZ
36038,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:35:33,VENTANA21
36037,Hoja de paqueteo,REPORTES,2024-02-22 13:35:33,LKANBAN
36036,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:35:31,VENTANA2
36035,Consulta ventana,LOGISTICA,2024-02-22 13:35:14,VENTANA2
36034,Trazo,PRODUCCIÓN,2024-02-22 13:35:00,FSIGUENZA
36033,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:34:53,VENTANA4
36032,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:34:51,VENTANA2
36031,Consulta ventana,LOGISTICA,2024-02-22 13:34:40,VENTANA11
36030,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:34:26,VENTANA11
36029,Estatus Sticker,Defectos Calidad,2024-02-22 13:33:38,RFLORES
36028,Agregar rollo a carro,Rollos Tela,2024-02-22 13:33:32,DEVIVAS
36027,Estatus Sticker,Defectos Calidad,2024-02-22 13:33:28,JEMGARCIA
36026,Pruebas de Laboratorio,CALIDAD TELA,2024-02-22 13:33:21,ALAGUILAR
36025,Consulta ventana,LOGISTICA,2024-02-22 13:33:12,VENTANA11
36024,Secuencia Tono,CALIDAD TELA,2024-02-22 13:33:10,ALAGUILAR
36023,Dividir Sticker,COMA,2024-02-22 13:33:02,WLEMUS
36022,Estatus Sticker,Defectos Calidad,2024-02-22 13:32:48,GHERNANDEZ
36021,Consulta ventana,LOGISTICA,2024-02-22 13:32:46,DIGITADORBPT
36020,Orden de
                        producción,PLANEACIÓN,2024-02-22 13:32:37,ONZEPEDA
36019,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:32:26,VENTANA10
36018,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:32:21,VENTANA1
36017,Consulta ventana,LOGISTICA,2024-02-22 13:32:18,VENTANA12
36016,Hoja de paqueteo,REPORTES,2024-02-22 13:32:13,KANBAN
36015,Consulta ventana,LOGISTICA,2024-02-22 13:31:56,VENTANA1
36014,Estatus Sticker,Defectos Calidad,2024-02-22 13:31:53,SCRUZ
36013,Consulta ventana,LOGISTICA,2024-02-22 13:31:47,VENTANA4
36012,Estatus Sticker,Defectos Calidad,2024-02-22 13:31:30,FLUCERO
36011,Wip,REPORTES,2024-02-22 13:31:24,CMENENDEZ
36010,Consulta ventana,LOGISTICA,2024-02-22 13:31:22,VENTANA2
36009,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:31:14,VENTANA10
36008,Reportes,CALIDAD TELA,2024-02-22 13:31:14,JDRAMOS
36007,Aprobar/rechazar - BU,PLANEACIÓN,2024-02-22 13:31:09,NPORTILLO
36006,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:31:08,VENTANA12
36005,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:30:59,VENTANA6
36004,Consulta ventana,LOGISTICA,2024-02-22 13:30:58,VENTANA12
36003,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:30:53,VENTANA2
36002,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:30:51,VENTANA5
36001,Consulta ventana,LOGISTICA,2024-02-22 13:30:48,VENTANA6
36000,Enviar - Auditoria BPT,LOGISTICA,2024-02-22 13:30:48,VENTANA15
35999,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:30:44,VENTANA12
35998,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:30:38,JDLOPEZ
35997,Consulta ventana,LOGISTICA,2024-02-22 13:30:28,VENTANA2
35996,Costos Dev. Rollos,Rollos Tela,2024-02-22 13:30:23,HBALVARADO
35995,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:30:17,VENTANA2
35994,Consulta ventana,LOGISTICA,2024-02-22 13:30:16,VENTANA21
35993,Consulta ventana,LOGISTICA,2024-02-22 13:30:14,LVENTANA2
35992,Consulta ventana,LOGISTICA,2024-02-22 13:30:11,VENTANA10
35991,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:30:09,VENTANA6
35990,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:30:08,LVENTANA2
35989,Agregar rollo a carro,Rollos Tela,2024-02-22 13:30:08,NNERIO
35988,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:30:07,VENTANA21
35987,Tiquete de Corte,REPORTES,2024-02-22 13:29:57,NPORTILLO
35986,Producción Diaria,REPORTES,2024-02-22 13:29:56,DSEGOVIA
35985,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:29:51,VENTANA14
35984,Consulta ventana,LOGISTICA,2024-02-22 13:29:50,VENTANA5
35983,Crear Requisiciones,PLANEACIÓN,2024-02-22 13:29:49,NPORTILLO
35982,Consulta ventana,LOGISTICA,2024-02-22 13:29:46,VENTANA21
35981,Consulta ventana,LOGISTICA,2024-02-22 13:29:45,VENTANA16
35980,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:29:44,VENTANA5
35979,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:29:39,VENTANA21
35978,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:29:36,VENTANA11
35977,Consulta ventana,LOGISTICA,2024-02-22 13:29:26,SGONZALEZ
35976,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:29:15,VENTANA21
35975,Op en ventana,LOGISTICA,2024-02-22 13:29:13,VENTANA11
35974,Operaciones,PRODUCCIÓN,2024-02-22 13:29:06,DSEGOVIA
35973,Movimiento por OP,REPORTES,2024-02-22 13:29:06,BHERNANDEZ
35972,Consulta ventana,LOGISTICA,2024-02-22 13:29:00,VENTANA14
35971,Imprimir sticker,COMA,2024-02-22 13:28:55,COMACORTE1
35970,Hoja de paqueteo,REPORTES,2024-02-22 13:28:50,JMEJIA
35969,Enviar - Auditoria BPT,LOGISTICA,2024-02-22 13:28:41,NGALVEZ
35968,Sub areas,PRODUCCIÓN,2024-02-22 13:28:40,DSEGOVIA
35967,Hoja de paqueteo,REPORTES,2024-02-22 13:28:35,HILOS
35966,Consulta ventana,LOGISTICA,2024-02-22 13:28:33,VENTANA11
35965,Operaciones,PRODUCCIÓN,2024-02-22 13:28:19,DSEGOVIA
35964,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:28:12,VENTANA4
35963,Consulta ventana,LOGISTICA,2024-02-22 13:28:09,CVENTANA19
35962,Enviar - Auditoria BPT,LOGISTICA,2024-02-22 13:28:08,VENTANA16
35961,Agregar rollo a carro,Rollos Tela,2024-02-22 13:28:07,NNERIO
35960,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:28:02,VENTANA9
35959,Rutas,COLECCION,2024-02-22 13:27:56,DSEGOVIA
35958,Wip Semaforo Grupo,REPORTES,2024-02-22 13:27:48,DSEGOVIA
35957,Paqueteo,COMA,2024-02-22 13:27:42,COMASDP
35956,Rollos en bodega,REPORTES,2024-02-22 13:27:29,ASIGUENZA
35955,Paqueteo,COMA,2024-02-22 13:27:24,JGALICIA
35954,Consulta ventana,LOGISTICA,2024-02-22 13:27:24,VENTANA4
35953,Tiquete de Corte,REPORTES,2024-02-22 13:27:22,BHERNANDEZ
35952,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:27:14,VENTANA4
35951,Consulta Mesa Foleo,SDP,2024-02-22 13:27:05,ERMARTINEZ
35950,Movimiento por OP,REPORTES,2024-02-22 13:26:39,KANBAN
35949,Preparar Rollos,Rollos Tela,2024-02-22 13:26:34,DEVIVAS
35948,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:26:28,VENTANA9
35947,Consulta Mesa Foleo,SDP,2024-02-22 13:26:26,KAREVALO
35946,Movimiento por OP,REPORTES,2024-02-22 13:26:21,VECTORIH80
35945,Consulta ventana,LOGISTICA,2024-02-22 13:26:14,VENTANA2
35944,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:26:11,VENTANA22
35943,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:26:10,VENTANA6
35942,Consulta ventana,LOGISTICA,2024-02-22 13:26:07,VENTANA2
35941,Enviar - Auditoria BPT,LOGISTICA,2024-02-22 13:26:04,DIGITADORBPT
35940,Consulta ventana,LOGISTICA,2024-02-22 13:25:55,ASANTOS
35939,Paqueteo,COMA,2024-02-22 13:25:51,COMACORTE1
35938,Lectura Corte Tiempo Real,SDP,2024-02-22 13:25:50,IQ80-86/1
35937,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:25:40,VENTANA2
35936,Asignar Rollos,Rollos Tela,2024-02-22 13:25:38,DEVIVAS
35935,Producción Diaria,REPORTES,2024-02-22 13:25:37,DSEGOVIA
35934,Lectura Corte Tiempo Real,SDP,2024-02-22 13:25:37,IQ80-86/1
35933,Lectura Corte Tiempo Real,SDP,2024-02-22 13:25:36,VECTORIH80
35932,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:25:34,VENTANA1
35931,Consulta ventana,LOGISTICA,2024-02-22 13:25:26,VENTANA1
35930,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:25:24,VENTANA14
35929,Liquidación,PLANEACIÓN,2024-02-22 13:25:21,LIQUIDACIONCORTE
35928,Consulta ventana,LOGISTICA,2024-02-22 13:25:20,VENTANA2
35927,Imprimir sticker,COMA,2024-02-22 13:25:13,COMACORTE1
35926,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:25:08,VENTANA2
35925,Consulta ventana,LOGISTICA,2024-02-22 13:25:07,VENTANA9
35924,Consulta ventana,LOGISTICA,2024-02-22 13:25:03,VENTANA14
35923,Movimiento por OP,REPORTES,2024-02-22 13:25:03,BHERNANDEZ
35922,Lectura Corte Tiempo Real,SDP,2024-02-22 13:25:03,IQ80-86/1
35921,Descargar Rollos,Rollos Tela,2024-02-22 13:25:00,ETORRES
35920,Ltra de prod. tiempo fijo,COMA,2024-02-22 13:24:42,DSEGOVIA
35919,Crear Requisiciones,PLANEACIÓN,2024-02-22 13:24:36,CONTROLADORSPP
35918,Consulta ventana,LOGISTICA,2024-02-22 13:24:35,VENTANA15
35917,Producción Tendido/Corte,REPORTES,2024-02-22 13:24:33,EBALLESTEROS
35916,Paqueteo,COMA,2024-02-22 13:24:17,COMACORTE1
35915,Celdas,PRODUCCIÓN,2024-02-22 13:24:08,DSEGOVIA
35914,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:24:05,VENTANA1
35913,Lectura Corte Tiempo Real,SDP,2024-02-22 13:23:58,IQ80-86/1
35912,Consulta ventana,LOGISTICA,2024-02-22 13:23:56,VENTANA1
35911,Consulta ventana,LOGISTICA,2024-02-22 13:23:45,VENTANA6
35910,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:23:41,VENTANA11
35909,Consulta ventana,LOGISTICA,2024-02-22 13:23:36,VENTANA21
35908,Trazo,PRODUCCIÓN,2024-02-22 13:23:31,FSIGUENZA
35907,Ltra de prod. tiempo fijo,COMA,2024-02-22 13:23:25,DSEGOVIA
35906,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:23:20,VENTANA6
35905,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:23:18,VENTANA5
35904,Op en ventana,LOGISTICA,2024-02-22 13:23:13,VENTANA11
35903,Consulta ventana,LOGISTICA,2024-02-22 13:23:12,WVELAZQUEZ
35902,Imprimir sticker,COMA,2024-02-22 13:23:02,COMACORTE1
35901,Hoja de paqueteo,REPORTES,2024-02-22 13:22:57,JMEJIA
35900,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:22:55,VENTANA4
35899,Enviar - Auditoria BPT,LOGISTICA,2024-02-22 13:22:44,CVENTANA19
35898,Requisiciones directas,PLANEACIÓN,2024-02-22 13:22:40,ASIGUENZA
35897,Movimiento por OP,REPORTES,2024-02-22 13:22:37,JMEJIA
35896,Rollos en Bodega,Rollos Tela,2024-02-22 13:22:32,DEVIVAS
35895,Hoja de paqueteo,REPORTES,2024-02-22 13:22:23,JMEJIA
35894,Hoja de paqueteo,REPORTES,2024-02-22 13:22:13,LKANBAN
35893,Rollos en Bodega,Rollos Tela,2024-02-22 13:22:13,ASIGUENZA
35892,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:22:08,VENTANA9
35891,Consulta ventana,LOGISTICA,2024-02-22 13:22:05,VENTANA5
35890,Rutas,COLECCION,2024-02-22 13:22:01,DSEGOVIA
35889,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:21:59,VENTANA5
35888,Consulta ventana,LOGISTICA,2024-02-22 13:21:52,JDLOPEZ
35887,Consulta ventana,LOGISTICA,2024-02-22 13:21:51,VENTANA4
35886,Hoja de paqueteo,REPORTES,2024-02-22 13:21:37,BHERNANDEZ
35885,Consulta ventana,LOGISTICA,2024-02-22 13:21:33,VENTANA12
35884,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:21:26,VENTANA10
35883,Consulta ventana,LOGISTICA,2024-02-22 13:21:26,KANBAN
35882,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:21:22,VENTANA12
35881,Consulta ventana,LOGISTICA,2024-02-22 13:21:18,VENTANA10
35880,Consulta ventana,LOGISTICA,2024-02-22 13:21:12,VENTANA16
35879,Consulta ventana,LOGISTICA,2024-02-22 13:21:05,VENTANA12
35878,Imprimir sticker,COMA,2024-02-22 13:21:05,DSEGOVIA
35877,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:21:02,VENTANA11
35876,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:20:53,VENTANA12
35875,Asignar Rollos,Rollos Tela,2024-02-22 13:20:47,DEVIVAS
35874,Consulta ventana,LOGISTICA,2024-02-22 13:20:43,DIGITADORBPT
35873,Ltra de prod. tiempo fijo,COMA,2024-02-22 13:20:42,DSEGOVIA
35872,Hoja de paqueteo,REPORTES,2024-02-22 13:20:28,FCASTANEDA
35871,Imprimir sticker,COMA,2024-02-22 13:20:11,COMASDP
35870,Estatus Sticker,Defectos Calidad,2024-02-22 13:20:10,JCHACON
35869,Tiquete de Corte,REPORTES,2024-02-22 13:19:45,LKANBAN
35868,Hoja de paqueteo,REPORTES,2024-02-22 13:19:45,KANBAN
35867,Celdas,PRODUCCIÓN,2024-02-22 13:19:42,DSEGOVIA
35866,Celdas,PRODUCCIÓN,2024-02-22 13:19:27,DSEGOVIA
35865,Asignar Rollos,Rollos Tela,2024-02-22 13:19:25,DEVIVAS
35864,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:19:23,VENTANA1
35863,Hoja de paqueteo,REPORTES,2024-02-22 13:19:11,LKANBAN
35862,Ltra de prod. tiempo fijo,COMA,2024-02-22 13:19:00,DSEGOVIA
35861,Consulta ventana,LOGISTICA,2024-02-22 13:18:55,VENTANA1
35860,Movimiento por OP,REPORTES,2024-02-22 13:18:47,JMEJIA
35859,Movimiento por OP RCS,REPORTES,2024-02-22 13:18:47,JCASTRO
35858,OP en Caja,LOGISTICA SDP,2024-02-22 13:18:39,KANBAN
35857,Movimiento por OP,REPORTES,2024-02-22 13:18:36,JMEJIA
35856,Celdas,PRODUCCIÓN,2024-02-22 13:18:33,DSEGOVIA
35855,Consulta ventana,LOGISTICA,2024-02-22 13:18:27,VENTANA2
35854,Consulta ventana,LOGISTICA,2024-02-22 13:18:24,CVENTANA19
35853,Paqueteo,COMA,2024-02-22 13:18:22,COMACORTE1
35852,Ltra de prod. tiempo fijo,COMA,2024-02-22 13:18:16,DSEGOVIA
35851,Tiquete de Corte,REPORTES,2024-02-22 13:18:14,CONTROLADORSPP
35850,Sol. Aprobación/rechazo,PLANEACIÓN,2024-02-22 13:18:13,JRIVAS
35849,Dividir Sticker,COMA,2024-02-22 13:18:06,LCOMALOURDES1
35848,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:18:04,VENTANA2
35847,Celdas,PRODUCCIÓN,2024-02-22 13:17:38,DSEGOVIA
35846,Consulta ventana,LOGISTICA,2024-02-22 13:17:36,VENTANA2
35845,Consulta ventana,LOGISTICA,2024-02-22 13:17:34,VENTANA21
35844,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:17:29,VENTANA21
35843,Requisiciones directas,PLANEACIÓN,2024-02-22 13:17:27,GACEVEDO
35842,Ingreso a ventana/detalle,LOGISTICA,2024-02-22 13:17:21,VENTANA2
35841,Hoja de paqueteo,REPORTES,2024-02-22 13:17:21,JMEJIA
35840,Consulta ventana,LOGISTICA,2024-02-22 13:17:19,LVENTANA3
35839,Hoja de paqueteo,REPORTES,2024-02-22 13:17:18,KANBAN
35838,Movimiento por OP,REPORTES,2024-02-22 13:17:18,BHERNANDEZ
35837,Movimiento por OP,REPORTES,2024-02-22 13:17:15,BHERNANDEZ
35836,Movimiento por OP,REPORTES,2024-02-22 13:17:15,JCASTRO
35835,Sol. Aprobación/rechazo,PLANEACIÓN,2024-02-22 13:17:10,KREGALADO
35834,Ltra de prod. tiempo fijo,COMA,2024-02-22 13:17:07,LCOMALOURDES1
35833,Tiquete de Corte,REPORTES,2024-02-22 13:16:57,JMEJIA
